chart_label,region,national_rank_of_accepting_candidate
unknown_year_A,East Midlands,44
unknown_year_A,East Midlands,45
unknown_year_A,East Midlands,76
unknown_year_A,East Midlands,80
unknown_year_A,East Midlands,172
unknown_year_A,East Midlands,190
unknown_year_A,East Midlands,195
unknown_year_A,East Midlands,289
unknown_year_A,East Midlands,314
unknown_year_A,East Midlands,316
unknown_year_A,East Midlands,432
unknown_year_A,East Midlands,486
unknown_year_A,East Midlands,502
unknown_year_A,East Midlands,544
unknown_year_A,East Midlands,547
unknown_year_A,East Midlands,609
unknown_year_A,East Midlands,649
unknown_year_A,East Midlands,680
unknown_year_A,East Midlands,698
unknown_year_A,East Midlands,723
unknown_year_A,East Midlands,795
unknown_year_A,East Midlands,804
unknown_year_A,East Midlands,828
unknown_year_A,East Midlands,839
unknown_year_A,East Midlands,898
unknown_year_A,East Midlands,914
unknown_year_A,East Midlands,962
unknown_year_A,East Midlands,992
unknown_year_A,East Midlands,997
unknown_year_A,East Midlands,1009
unknown_year_A,East Midlands,1025
unknown_year_A,East Midlands,1047
unknown_year_A,East Midlands,1048
unknown_year_A,East Midlands,1051
unknown_year_A,East Midlands,1099
unknown_year_A,East Midlands,1101
unknown_year_A,East Midlands,1119
unknown_year_A,East Midlands,1128
unknown_year_A,East Midlands,1149
unknown_year_A,East Midlands,1172
unknown_year_A,East Midlands,1228
unknown_year_A,East Midlands,1229
unknown_year_A,East Midlands,1256
unknown_year_A,East Midlands,1257
unknown_year_A,East Midlands,1279
unknown_year_A,East Midlands,1286
unknown_year_A,East Midlands,1296
unknown_year_A,East Midlands,1301
unknown_year_A,East Midlands,1304
unknown_year_A,East Midlands,1321
unknown_year_A,East Midlands,1327
unknown_year_A,East Midlands,1333
unknown_year_A,East Midlands,1352
unknown_year_A,East Midlands,1354
unknown_year_A,East Midlands,1355
unknown_year_A,East Midlands,1361
unknown_year_A,East Midlands,1373
unknown_year_A,East Midlands,1435
unknown_year_A,East Midlands,1440
unknown_year_A,East Midlands,1460
unknown_year_A,East Midlands,1469
unknown_year_A,East Midlands,1473
unknown_year_A,East Midlands,1475
unknown_year_A,East Midlands,1477
unknown_year_A,East Midlands,1486
unknown_year_A,East Midlands,1497
unknown_year_A,East Midlands,1509
unknown_year_A,East Midlands,1539
unknown_year_A,East Midlands,1545
unknown_year_A,East Midlands,1553
unknown_year_A,East Midlands,1564
unknown_year_A,East Midlands,1596
unknown_year_A,East Midlands,1597
unknown_year_A,East Midlands,1616
unknown_year_A,East Midlands,1654
unknown_year_A,East Midlands,1690
unknown_year_A,East Midlands,1692
unknown_year_A,East Midlands,1712
unknown_year_A,East Midlands,1716
unknown_year_A,East Midlands,1718
unknown_year_A,East Midlands,1728
unknown_year_A,East Midlands,1735
unknown_year_A,East Midlands,1752
unknown_year_A,East Midlands,1762
unknown_year_A,East Midlands,1783
unknown_year_A,East Midlands,1788
unknown_year_A,East Midlands,1796
unknown_year_A,East Midlands,1803
unknown_year_A,East Midlands,1846
unknown_year_A,East Midlands,1866
unknown_year_A,East Midlands,1878
unknown_year_A,East of England,22
unknown_year_A,East of England,71
unknown_year_A,East of England,86
unknown_year_A,East of England,89
unknown_year_A,East of England,146
unknown_year_A,East of England,150
unknown_year_A,East of England,213
unknown_year_A,East of England,233
unknown_year_A,East of England,243
unknown_year_A,East of England,264
unknown_year_A,East of England,306
unknown_year_A,East of England,315
unknown_year_A,East of England,326
unknown_year_A,East of England,354
unknown_year_A,East of England,376
unknown_year_A,East of England,397
unknown_year_A,East of England,408
unknown_year_A,East of England,438
unknown_year_A,East of England,456
unknown_year_A,East of England,476
unknown_year_A,East of England,484
unknown_year_A,East of England,491
unknown_year_A,East of England,510
unknown_year_A,East of England,607
unknown_year_A,East of England,622
unknown_year_A,East of England,632
unknown_year_A,East of England,639
unknown_year_A,East of England,668
unknown_year_A,East of England,688
unknown_year_A,East of England,708
unknown_year_A,East of England,734
unknown_year_A,East of England,738
unknown_year_A,East of England,744
unknown_year_A,East of England,745
unknown_year_A,East of England,753
unknown_year_A,East of England,778
unknown_year_A,East of England,783
unknown_year_A,East of England,810
unknown_year_A,East of England,866
unknown_year_A,East of England,868
unknown_year_A,East of England,870
unknown_year_A,East of England,880
unknown_year_A,East of England,882
unknown_year_A,East of England,891
unknown_year_A,East of England,895
unknown_year_A,East of England,897
unknown_year_A,East of England,926
unknown_year_A,East of England,946
unknown_year_A,East of England,950
unknown_year_A,East of England,994
unknown_year_A,East of England,998
unknown_year_A,East of England,1000
unknown_year_A,East of England,1003
unknown_year_A,East of England,1012
unknown_year_A,East of England,1015
unknown_year_A,East of England,1019
unknown_year_A,East of England,1042
unknown_year_A,East of England,1046
unknown_year_A,East of England,1054
unknown_year_A,East of England,1059
unknown_year_A,East of England,1063
unknown_year_A,East of England,1067
unknown_year_A,East of England,1075
unknown_year_A,East of England,1076
unknown_year_A,East of England,1083
unknown_year_A,East of England,1087
unknown_year_A,East of England,1092
unknown_year_A,East of England,1098
unknown_year_A,East of England,1110
unknown_year_A,East of England,1116
unknown_year_A,East of England,1121
unknown_year_A,East of England,1123
unknown_year_A,East of England,1135
unknown_year_A,East of England,1139
unknown_year_A,East of England,1143
unknown_year_A,East of England,1175
unknown_year_A,East of England,1225
unknown_year_A,East of England,1273
unknown_year_A,East of England,1282
unknown_year_A,East of England,1283
unknown_year_A,East of England,1300
unknown_year_A,East of England,1311
unknown_year_A,East of England,1313
unknown_year_A,East of England,1325
unknown_year_A,East of England,1344
unknown_year_A,East of England,1371
unknown_year_A,East of England,1371
unknown_year_A,East of England,1381
unknown_year_A,East of England,1386
unknown_year_A,East of England,1393
unknown_year_A,East of England,1412
unknown_year_A,East of England,1448
unknown_year_A,East of England,1457
unknown_year_A,East of England,1459
unknown_year_A,East of England,1483
unknown_year_A,East of England,1488
unknown_year_A,East of England,1489
unknown_year_A,East of England,1514
unknown_year_A,East of England,1533
unknown_year_A,East of England,1534
unknown_year_A,East of England,1574
unknown_year_A,East of England,1593
unknown_year_A,East of England,1606
unknown_year_A,East of England,1623
unknown_year_A,East of England,1650
unknown_year_A,East of England,1653
unknown_year_A,East of England,1662
unknown_year_A,East of England,1680
unknown_year_A,East of England,1682
unknown_year_A,East of England,1684
unknown_year_A,East of England,1685
unknown_year_A,East of England,1686
unknown_year_A,East of England,1688
unknown_year_A,East of England,1699
unknown_year_A,East of England,1736
unknown_year_A,East of England,1748
unknown_year_A,East of England,1749
unknown_year_A,East of England,1760
unknown_year_A,East of England,1771
unknown_year_A,East of England,1800
unknown_year_A,East of England,1805
unknown_year_A,East of England,1830
unknown_year_A,East of England,1833
unknown_year_A,East of England,1840
unknown_year_A,East of England,1841
unknown_year_A,East of England,1859
unknown_year_A,East of England,1867
unknown_year_A,East of England,1891
unknown_year_A,East of England,1899
unknown_year_A,East of England,1913
unknown_year_A,East of England,1921
unknown_year_A,East of England,1933
unknown_year_A,East of England,1944
unknown_year_A,East of England,1961
unknown_year_A,East of England,1973
unknown_year_A,East of England,1974
unknown_year_A,East of England,1978
unknown_year_A,East of England,1983
unknown_year_A,East of England,1984
unknown_year_A,East of England,2006
unknown_year_A,East of England,2008
unknown_year_A,East of England,2009
unknown_year_A,Kent Surrey and Sussex,1376
unknown_year_A,Kent Surrey and Sussex,1554
unknown_year_A,Kent Surrey and Sussex,1338
unknown_year_A,Kent Surrey and Sussex,1542
unknown_year_A,Kent Surrey and Sussex,1158
unknown_year_A,Kent Surrey and Sussex,1917
unknown_year_A,Kent Surrey and Sussex,1517
unknown_year_A,Kent Surrey and Sussex,884
unknown_year_A,Kent Surrey and Sussex,1261
unknown_year_A,Kent Surrey and Sussex,1838
unknown_year_A,Kent Surrey and Sussex,1466
unknown_year_A,Kent Surrey and Sussex,1643
unknown_year_A,Kent Surrey and Sussex,1455
unknown_year_A,Kent Surrey and Sussex,779
unknown_year_A,Kent Surrey and Sussex,266
unknown_year_A,Kent Surrey and Sussex,1370
unknown_year_A,Kent Surrey and Sussex,1902
unknown_year_A,Kent Surrey and Sussex,941
unknown_year_A,Kent Surrey and Sussex,967
unknown_year_A,Kent Surrey and Sussex,1238
unknown_year_A,Kent Surrey and Sussex,1552
unknown_year_A,Kent Surrey and Sussex,482
unknown_year_A,Kent Surrey and Sussex,955
unknown_year_A,Kent Surrey and Sussex,1375
unknown_year_A,Kent Surrey and Sussex,1727
unknown_year_A,Kent Surrey and Sussex,1345
unknown_year_A,Kent Surrey and Sussex,1331
unknown_year_A,Kent Surrey and Sussex,1569
unknown_year_A,Kent Surrey and Sussex,1598
unknown_year_A,Kent Surrey and Sussex,1109
unknown_year_A,Kent Surrey and Sussex,1109
unknown_year_A,Kent Surrey and Sussex,1309
unknown_year_A,Kent Surrey and Sussex,1041
unknown_year_A,Kent Surrey and Sussex,1747
unknown_year_A,Kent Surrey and Sussex,1253
unknown_year_A,Kent Surrey and Sussex,1775
unknown_year_A,Kent Surrey and Sussex,1177
unknown_year_A,Kent Surrey and Sussex,534
unknown_year_A,Kent Surrey and Sussex,1746
unknown_year_A,Kent Surrey and Sussex,1262
unknown_year_A,Kent Surrey and Sussex,919
unknown_year_A,Kent Surrey and Sussex,1855
unknown_year_A,Kent Surrey and Sussex,1823
unknown_year_A,Kent Surrey and Sussex,970
unknown_year_A,Kent Surrey and Sussex,1858
